zip_code,efficiency,one-bedroom,two-bedroom,three-bedroom,four-bedroom
22534,"$1,400","$1,420","$1,620","$2,030","$2,420"
22545,"$1,440","$1,470","$1,670","$2,090","$2,490"
22546,"$1,360","$1,390","$1,570","$2,030","$2,470"
22551,"$1,090","$1,110","$1,260","$1,580","$1,880"
22553,"$1,430","$1,460","$1,660","$2,080","$2,480"
22554,"$1,560","$1,580","$1,800","$2,250","$2,690"
22555,"$1,440","$1,470","$1,670","$2,090","$2,490"
22556,"$1,530","$1,560","$1,770","$2,210","$2,640"
22565,"$1,360","$1,380","$1,570","$1,960","$2,340"
22567,"$1,360","$1,380","$1,570","$1,960","$2,340"
22580,$940,$960,"$1,090","$1,360","$1,630"
22611,"$1,070","$1,090","$1,240","$1,550","$1,850"
22620,"$1,170","$1,190","$1,350","$1,700","$2,050"
22630,$790,$810,"$1,050","$1,390","$1,790"
22639,"$1,600","$1,630","$1,850","$2,310","$2,760"
22642,"$1,170","$1,180","$1,520","$1,990","$2,530"
22643,"$1,210","$1,220","$1,550","$2,020","$2,550"
22646,"$1,170","$1,190","$1,350","$1,700","$2,050"
22663,$970,"$1,020","$1,250","$1,600","$2,020"
22712,"$1,080","$1,100","$1,250","$1,560","$1,860"
22720,"$1,210","$1,230","$1,400","$1,760","$2,090"
22728,"$1,070","$1,090","$1,240","$1,550","$1,850"
22734,"$1,040","$1,050","$1,210","$1,510","$1,800"
22742,"$1,400","$1,420","$1,620","$2,030","$2,420"
22960,$850,$860,"$1,080","$1,350","$1,610"
23015,"$1,020","$1,050","$1,180","$1,520","$1,840"
23024,$900,$920,"$1,040","$1,310","$1,560"
23117,$950,$970,"$1,100","$1,380","$1,650"
88888,"$1,510","$1,540","$1,750","$2,190","$2,610"
